city,index_within_city,venue_cat,correctCategoryPredictionProb,predictedCategory,isPredictedCategoryCorrect,inTopTen,correctLocationPredictionProb,predictedLocation,isPredictedLocationCorrect
1,1108,44.0,0.016018567125369695,70.0,0,1,0.053924247391689765,4.0,0
1,2154,414.0,0.04895275748416765,414.0,1,1,0.6434770193552156,2154.0,1
1,837,273.0,0.006362645005339248,230.0,0,0,0.04142279532144197,1522.0,0
0,2939,234.0,0.01757527981700845,70.0,0,1,0.0668165911615266,11.0,0
1,886,35.0,0.0010854285747082329,230.0,0,0,0.014327023771558069,1522.0,0
1,284,230.0,0.06515821226807318,230.0,1,1,0.09761813572425136,837.0,0
0,2579,259.0,0.020415464642453224,141.0,0,1,0.058084418499088526,1594.0,0
0,1912,152.0,0.019490254872610795,44.0,0,0,0.1247088696752319,1912.0,1
1,537,230.0,0.03160819729070947,70.0,0,1,0.047354480513121924,837.0,0
1,2215,49.0,0.029257888187877643,230.0,0,1,0.0899174141011073,837.0,0
1,1330,240.0,0.009081043176254152,70.0,0,0,0.04075537311025177,837.0,0
1,2027,59.0,0.013800161534294877,70.0,0,0,0.10839789848074756,537.0,0
0,459,236.0,0.005114059538962698,44.0,0,0,0.12120970812446913,459.0,1
1,2028,259.0,0.02107798705038859,26.0,0,1,0.04144828223751121,4.0,0
1,609,76.0,0.001072283399867755,148.0,0,0,0.024780459326700963,4.0,0
1,1989,170.0,0.001451962878085755,95.0,0,0,0.055178134816320334,1208.0,0
0,2333,160.0,0.001355304503030965,70.0,0,0,0.009914391864109222,1594.0,0
0,142,27.0,0.0017808440966669424,70.0,0,0,0.06813898717145288,142.0,1
0,1436,44.0,0.06724366451825169,44.0,1,1,0.0841044426589139,459.0,0
0,2747,248.0,8.844339622659997E-4,141.0,0,0,0.00809701139730275,459.0,0
0,3053,159.0,0.008766450636773629,70.0,0,0,0.09879032637613368,2909.0,0
0,1594,100.0,4.0112655714980667E-4,44.0,0,0,0.015347978738219269,142.0,0
0,3335,320.0,0.011858687158587915,190.0,0,0,0.057978076009918285,2282.0,0
0,2808,45.0,0.0010527049773175659,44.0,0,0,0.02387022679624041,11.0,0
0,3353,304.0,0.019743449704472643,300.0,0,1,0.31705215225026295,3353.0,1
1,526,70.0,0.06270043188595723,70.0,1,1,0.11734546816810193,537.0,0
0,1749,49.0,0.01689267960306611,44.0,0,1,0.07104407928809421,1912.0,0
0,1443,248.0,0.012257164787806099,44.0,0,0,0.11221459964211075,459.0,0
1,1692,71.0,0.017223066732479256,179.0,0,1,0.05154659773897472,837.0,0
1,1635,288.0,0.19577308120141848,288.0,1,1,0.8822469244222573,1635.0,1
1,4,259.0,0.039441814897037845,259.0,1,1,0.07740104694398896,4.0,1
1,1526,32.0,0.0058498308825820295,230.0,0,0,0.04037138899259379,4.0,0
1,2168,34.0,0.0074006864195714376,39.0,0,0,0.03183709112533799,609.0,0
0,11,269.0,0.0063680340302853505,61.0,0,0,0.12163923654975528,11.0,1
1,420,150.0,0.0020840569642314524,70.0,0,0,0.017468767589749024,609.0,0
0,947,28.0,0.004818388548723276,141.0,0,0,0.10884545374955919,947.0,1
0,2909,106.0,0.0020511361199155513,70.0,0,0,0.059503360831043794,3335.0,0
1,1522,233.0,0.004666345939192185,26.0,0,0,0.0626461720154853,609.0,0
0,2282,92.0,0.044876416260398934,70.0,0,1,0.09874162400168447,2282.0,1
0,800,230.0,8.825519591652688E-4,44.0,0,0,0.006980502125251049,459.0,0
1,429,59.0,0.005041160630356845,148.0,0,0,0.03959745086155421,537.0,0
1,363,141.0,0.014078630756501096,143.0,0,1,0.1056772191362918,363.0,1
0,2795,44.0,0.095217332514803,44.0,1,1,0.11909227047629929,459.0,0
0,3549,44.0,0.019518170138469924,70.0,0,1,0.024587722872464787,459.0,0
1,2109,179.0,0.07744107744106539,179.0,1,1,0.5157594696633783,2109.0,1
1,946,257.0,0.005036029598131647,230.0,0,0,0.08620743451766537,837.0,0
0,2483,201.0,0.028857134482015045,70.0,0,1,0.34429269265882906,2483.0,1
0,2369,152.0,0.01589810545326764,44.0,0,0,0.10172441427828802,1912.0,0
1,1208,92.0,0.0018193478798146586,2.0,0,0,0.003920563680110483,837.0,0
0,2971,301.0,0.008403361344579814,288.0,0,1,0.25358482486222406,2971.0,1
