Table 39 Count 1 :	[1519]
Table 173 Count 10 :	[2761, 3749, 168, 1147, 173, 1971, 231, 2622, 214, 3803]
Table 195 Count 24 :	[342, 237, 2339, 3642, 2952, 705, 128, 586, 1529, 983, 195, 2012, 2169, 981, 3630, 3065, 2975, 217, 2386, 2325, 3966, 1869, 2997, 28]
Table 307 Count 10 :	[119, 1051, 290, 307, 1130, 2798, 2934, 3477, 1351, 1824]
Table 418 Count 1 :	[1317]
Table 483 Count 71 :	[2852, 958, 2202, 3523, 2851, 4073, 3534, 2198, 2321, 2871, 2733, 2018, 563, 4149, 2449, 1482, 3408, 440, 1134, 3556, 304, 441, 2957, 3558, 4103, 165, 668, 2974, 3183, 50, 49, 1504, 3780, 3662, 2563, 296, 179, 781, 2962, 3926, 302, 1701, 3763, 750, 1848, 337, 1009, 1976, 620, 3046, 1956, 1003, 460, 3085, 2250, 2789, 3128, 985, 2781, 2296, 500, 3362, 3501, 2171, 731, 127, 364, 242, 4185, 3585, 483]
Table 498 Count 8 :	[3433, 596, 1143, 2435, 2433, 616, 2180, 2637]
Table 514 Count 141 :	[0, 4128, 1916, 1098, 1919, 1635, 1365, 1364, 11, 1636, 259, 1357, 3007, 3541, 3265, 1661, 3267, 4087, 2726, 24, 2448, 1609, 4096, 1407, 2238, 514, 2478, 3554, 4104, 4041, 4109, 51, 3777, 3302, 2703, 3298, 2693, 1381, 2964, 1383, 2213, 1307, 3219, 3041, 1027, 74, 75, 1597, 87, 86, 2523, 630, 1594, 321, 3756, 876, 1825, 877, 102, 1336, 577, 3734, 1551, 4166, 2539, 2294, 110, 3981, 863, 1062, 107, 3502, 4182, 2762, 3507, 115, 1087, 354, 4186, 844, 3992, 139, 3162, 3398, 3697, 1500, 2620, 946, 2079, 2617, 398, 3418, 2058, 3139, 2102, 3916, 1262, 3430, 2104, 2585, 1741, 2826, 1742, 906, 1507, 189, 3445, 2365, 3884, 1700, 202, 3331, 198, 2687, 3634, 1705, 3631, 3903, 3629, 1958, 766, 3347, 2664, 2942, 3133, 3849, 1677, 704, 1469, 1684, 2146, 251, 2630, 249, 2632, 247, 484, 1933, 2634, 243, 3109]
Table 624 Count 2 :	[2038, 2807]
Table 636 Count 114 :	[550, 549, 2203, 2207, 1368, 2192, 2195, 825, 2197, 3289, 1362, 2187, 3270, 574, 3551, 2179, 570, 3274, 785, 1884, 524, 317, 2470, 2701, 1385, 2221, 299, 300, 2960, 1033, 3051, 1578, 1024, 3225, 1846, 4020, 869, 3069, 3070, 3056, 3057, 636, 3214, 3018, 3011, 382, 1330, 3013, 2285, 3026, 2277, 360, 3995, 2759, 3946, 2073, 2072, 1236, 3140, 2024, 3141, 2097, 2821, 3195, 2006, 3906, 433, 434, 2009, 2015, 3908, 643, 424, 2565, 188, 430, 2090, 2362, 1757, 2842, 1758, 181, 1972, 1973, 1428, 472, 470, 1983, 2139, 1001, 1959, 458, 456, 2661, 455, 454, 3623, 2122, 1942, 2883, 987, 715, 2406, 511, 3134, 988, 3121, 3607, 2655, 3840, 491, 3863, 3383, 482]
Table 688 Count 6 :	[4006, 2422, 1698, 1074, 3591, 688]
Table 826 Count 16 :	[2264, 3773, 1678, 2014, 1164, 623, 826, 800, 2660, 871, 782, 3686, 929, 3246, 776, 2273]
Table 833 Count 28 :	[3459, 3824, 64, 2984, 944, 2376, 1778, 257, 937, 157, 2518, 995, 151, 576, 4165, 3974, 37, 2891, 916, 1125, 796, 3738, 1389, 969, 833, 3927, 240, 659]
Table 837 Count 4 :	[612, 837, 1600, 2366]
Table 877 Count 12 :	[2928, 2252, 3099, 1354, 1096, 991, 2609, 1850, 525, 3937, 3772, 2636]
Table 882 Count 125 :	[2446, 3833, 555, 4142, 284, 567, 2732, 1900, 802, 3279, 4090, 571, 3822, 31, 2474, 2464, 2467, 2469, 3560, 4045, 2228, 1121, 1607, 2694, 2961, 881, 3767, 882, 3462, 3467, 4015, 3043, 2794, 1838, 1050, 870, 1592, 1045, 3017, 2779, 3728, 3729, 1545, 2782, 1815, 1814, 3008, 2556, 3504, 1323, 4176, 3727, 2756, 3720, 607, 3406, 2307, 1223, 2305, 1491, 1502, 2043, 3939, 2044, 1775, 407, 2618, 1781, 938, 1483, 3684, 3959, 925, 2576, 1735, 2343, 647, 3187, 3186, 3671, 1531, 2837, 2355, 666, 2084, 905, 3443, 1273, 3342, 1157, 3340, 2919, 2369, 2683, 2921, 199, 736, 743, 762, 1717, 2933, 3359, 1175, 1177, 2667, 994, 1966, 451, 2940, 2668, 3370, 3371, 504, 728, 1441, 3868, 3593, 974, 1446, 1209, 1695, 2904, 1689, 2155, 966]
Table 901 Count 40 :	[1016, 478, 2988, 1216, 1429, 471, 405, 3543, 942, 1663, 1715, 3264, 3625, 1282, 575, 266, 1828, 3414, 2027, 3816, 1791, 1422, 1421, 879, 2776, 3251, 2233, 3432, 3676, 2479, 1188, 918, 2230, 1877, 2564, 3986, 2561, 1921, 901, 1861]
Table 912 Count 34 :	[1100, 821, 341, 2370, 3710, 1308, 889, 3042, 2199, 3064, 2253, 3353, 3204, 939, 1280, 1790, 690, 2243, 2123, 4035, 2581, 2881, 1068, 2161, 912, 2229, 1925, 3112, 1984, 1566, 963, 2752, 1934, 1079]
Table 1020 Count 1 :	[2677]
Table 1150 Count 15 :	[2882, 2822, 655, 2475, 2368, 3883, 2140, 1150, 488, 113, 396, 1041, 2431, 1212, 120]
Table 1151 Count 15 :	[2719, 848, 3221, 4162, 276, 2116, 1151, 3114, 2557, 3933, 2606, 126, 1893, 4026, 1963]
Table 1174 Count 22 :	[1153, 2302, 1426, 1521, 3282, 446, 3494, 1464, 3090, 1225, 1012, 2805, 1226, 1510, 3181, 1174, 842, 1350, 3818, 2088, 1277, 2089]
Table 1223 Count 9 :	[2391, 2580, 1550, 1184, 671, 2251, 1367, 1435, 1089]
Table 1265 Count 5 :	[2353, 2287, 2034, 2389, 1666]
Table 1290 Count 31 :	[2135, 1640, 474, 1159, 737, 2801, 554, 3044, 1360, 1290, 1000, 565, 1787, 213, 2454, 2120, 450, 1823, 3130, 4039, 98, 444, 96, 97, 799, 437, 493, 1073, 4184, 3517, 1860]
Table 1376 Count 8 :	[3217, 3525, 2867, 2705, 810, 3062, 3108, 2737]
Table 1394 Count 10 :	[2640, 494, 1989, 218, 1205, 886, 1615, 2412, 1513, 1394]
Table 1416 Count 101 :	[3828, 2196, 552, 19, 3809, 18, 21, 23, 3813, 27, 26, 1135, 518, 309, 3567, 2224, 1867, 534, 1859, 2214, 1025, 73, 1301, 894, 323, 873, 2785, 632, 108, 3503, 1335, 1320, 2286, 836, 1084, 1801, 366, 125, 124, 3516, 3028, 687, 138, 953, 2850, 1764, 678, 949, 3159, 677, 1501, 2597, 155, 1473, 159, 2331, 2328, 693, 1480, 388, 1254, 3437, 442, 1251, 2100, 2107, 435, 2109, 3427, 426, 3449, 3934, 2834, 1276, 2844, 663, 3171, 1018, 3886, 2917, 3328, 1978, 2119, 2935, 2384, 3893, 752, 1967, 1416, 3621, 3075, 3888, 996, 1943, 509, 3373, 506, 2403, 2170, 1202, 487]
