Table 32 Count 24 :	[611, 1, 32, 717, 884, 889, 230, 858, 380, 315, 586, 130, 41, 12, 1151, 1082, 1080, 597, 323, 248, 1072, 1140, 570, 1136]
Table 38 Count 32 :	[881, 1033, 959, 201, 6, 7, 1011, 259, 256, 257, 1239, 1040, 815, 934, 150, 930, 1254, 1135, 853, 1123, 318, 835, 352, 115, 113, 490, 365, 1208, 1209, 846, 537, 1138]
Table 46 Count 28 :	[687, 68, 200, 413, 9, 10, 193, 741, 461, 223, 1002, 1053, 320, 219, 212, 386, 332, 811, 232, 434, 1125, 46, 862, 165, 1121, 292, 1210, 183]
Table 87 Count 5 :	[987, 1132, 519, 953, 783]
Table 136 Count 3 :	[136, 110, 1025]
Table 143 Count 32 :	[1100, 1038, 192, 824, 405, 1118, 325, 398, 218, 871, 266, 24, 390, 569, 1107, 30, 984, 648, 506, 233, 231, 111, 794, 599, 973, 660, 417, 961, 1073, 602, 536, 1137]
Table 251 Count 35 :	[822, 474, 681, 818, 955, 618, 198, 767, 633, 94, 576, 239, 653, 927, 237, 510, 1071, 1129, 507, 382, 706, 520, 44, 1196, 1207, 1146, 251, 488, 720, 298, 244, 900, 421, 423, 362]
Table 279 Count 5 :	[291, 141, 279, 521, 1197]
Table 282 Count 23 :	[685, 169, 272, 925, 985, 829, 282, 737, 977, 641, 497, 107, 969, 1206, 489, 664, 127, 603, 264, 901, 450, 302, 1106]
Table 299 Count 11 :	[254, 1134, 864, 730, 936, 1023, 769, 704, 1246, 299, 809]
Table 334 Count 29 :	[608, 1035, 739, 895, 946, 673, 324, 18, 21, 263, 938, 334, 210, 924, 309, 1131, 173, 650, 585, 161, 982, 1083, 289, 1149, 245, 182, 899, 480, 181]
Table 402 Count 1 :	[887]
Table 418 Count 16 :	[1153, 1064, 207, 374, 512, 1031, 763, 761, 802, 765, 1054, 418, 781, 124, 877, 91]
Table 425 Count 5 :	[425, 926, 305, 354, 439]
Table 434 Count 35 :	[1017, 70, 283, 8, 828, 1003, 867, 942, 217, 1115, 261, 95, 333, 1241, 1044, 790, 850, 649, 175, 716, 96, 718, 502, 856, 496, 1061, 971, 424, 970, 731, 974, 58, 487, 779, 122]
Table 435 Count 28 :	[551, 196, 677, 280, 134, 395, 16, 696, 22, 321, 574, 755, 147, 876, 928, 1182, 636, 99, 43, 526, 435, 160, 503, 1150, 534, 189, 364, 243]
Table 456 Count 19 :	[341, 882, 414, 1251, 544, 433, 1127, 376, 980, 84, 807, 1148, 190, 456, 295, 126, 722, 125, 898]
Table 524 Count 6 :	[1152, 1116, 549, 598, 1126, 891]
Table 532 Count 36 :	[410, 411, 746, 883, 609, 339, 415, 1231, 469, 557, 1224, 394, 462, 154, 159, 144, 454, 999, 448, 1183, 34, 577, 170, 1184, 38, 432, 40, 383, 164, 593, 532, 253, 353, 904, 178, 1139]
Table 539 Count 16 :	[0, 307, 1190, 140, 143, 37, 979, 825, 640, 672, 288, 50, 975, 994, 1240, 539]
Table 545 Count 23 :	[238, 714, 206, 1070, 581, 612, 1128, 545, 1029, 666, 397, 1055, 1143, 1075, 213, 813, 1215, 1047, 688, 810, 1076, 388, 689]
Table 555 Count 12 :	[1255, 671, 216, 854, 1204, 447, 656, 89, 466, 555, 105, 194]
Table 639 Count 39 :	[337, 948, 1009, 617, 951, 132, 567, 327, 221, 935, 391, 271, 440, 1067, 101, 787, 235, 311, 514, 1069, 583, 784, 381, 228, 436, 1122, 708, 358, 49, 293, 596, 188, 667, 841, 242, 1212, 180, 121, 845]
Table 678 Count 27 :	[67, 1228, 678, 1227, 552, 345, 195, 15, 565, 932, 453, 692, 814, 451, 501, 1192, 527, 709, 357, 187, 290, 595, 907, 249, 840, 896, 60]
Table 684 Count 3 :	[855, 766, 768]
Table 725 Count 36 :	[3, 5, 475, 819, 1236, 866, 23, 82, 933, 1108, 1105, 652, 306, 990, 991, 505, 513, 36, 524, 1124, 1057, 1199, 1063, 1120, 643, 861, 792, 1211, 662, 57, 360, 481, 725, 847, 482, 727]
Table 740 Count 10 :	[373, 865, 625, 117, 684, 1007, 1042, 208, 740, 269]
Table 743 Count 6 :	[1096, 459, 645, 402, 997, 743]
Table 818 Count 5 :	[788, 403, 366, 303, 224]
Table 833 Count 4 :	[833, 1201, 1087, 317]
Table 837 Count 141 :	[821, 548, 4, 547, 1097, 1098, 559, 830, 1089, 827, 826, 566, 801, 562, 561, 260, 560, 1114, 27, 1110, 808, 791, 789, 786, 314, 796, 795, 774, 775, 772, 773, 770, 771, 782, 297, 780, 56, 778, 301, 776, 777, 65, 1039, 1027, 72, 892, 620, 894, 621, 627, 624, 1052, 1041, 634, 1043, 632, 1045, 637, 1066, 375, 578, 1065, 579, 848, 368, 371, 97, 859, 1058, 857, 377, 379, 591, 832, 1081, 594, 838, 1084, 837, 601, 605, 123, 363, 1222, 683, 682, 944, 674, 941, 703, 157, 695, 385, 384, 691, 931, 441, 168, 923, 651, 918, 162, 438, 669, 908, 661, 657, 1016, 205, 745, 1018, 744, 477, 1020, 748, 468, 1013, 464, 1014, 1015, 1005, 1004, 764, 754, 995, 757, 986, 710, 981, 493, 1202, 492, 729, 1200, 494, 733, 734, 491, 972, 1214, 967]
Table 849 Count 6 :	[372, 393, 849, 33, 676, 914]
Table 870 Count 22 :	[508, 1220, 518, 580, 1036, 444, 920, 472, 749, 312, 916, 707, 587, 109, 1088, 47, 220, 258, 870, 812, 878, 568]
Table 875 Count 9 :	[114, 445, 525, 108, 875, 346, 449, 135, 329]
Table 885 Count 173 :	[820, 817, 278, 277, 276, 11, 13, 14, 1091, 553, 805, 19, 806, 1119, 262, 1112, 25, 572, 31, 517, 1130, 308, 515, 313, 797, 45, 533, 51, 535, 55, 54, 528, 53, 1145, 52, 541, 296, 1141, 63, 61, 343, 340, 885, 614, 1037, 336, 886, 351, 77, 616, 622, 893, 623, 74, 344, 75, 85, 626, 631, 322, 628, 92, 331, 88, 90, 879, 102, 100, 98, 852, 584, 1059, 588, 106, 1062, 589, 590, 834, 119, 356, 839, 1086, 1085, 112, 355, 1074, 843, 361, 607, 606, 120, 957, 1223, 958, 139, 1216, 954, 1218, 949, 401, 945, 404, 1226, 153, 399, 937, 699, 158, 1245, 146, 693, 690, 1242, 151, 1243, 655, 1253, 1248, 163, 646, 167, 1256, 913, 186, 910, 427, 184, 185, 906, 428, 416, 419, 176, 897, 750, 1021, 1022, 202, 473, 738, 471, 736, 465, 460, 458, 1006, 992, 752, 209, 509, 1185, 715, 511, 504, 234, 988, 989, 1188, 983, 498, 711, 728, 1203, 495, 968, 1205, 963, 960, 965, 726, 240, 241, 1213]
Table 905 Count 13 :	[479, 1034, 1019, 369, 191, 905, 1026, 347, 863, 996, 1078, 1077, 947]
Table 950 Count 62 :	[1221, 1101, 409, 138, 816, 680, 558, 679, 128, 950, 400, 406, 804, 17, 563, 803, 396, 1244, 267, 26, 148, 270, 1104, 149, 171, 516, 1133, 174, 921, 42, 798, 316, 668, 531, 431, 538, 478, 342, 615, 1024, 470, 619, 1001, 869, 215, 712, 236, 1195, 705, 978, 1198, 226, 225, 104, 378, 252, 359, 732, 962, 721, 844, 964]
Table 1008 Count 34 :	[1102, 412, 129, 1008, 556, 199, 1095, 1230, 79, 1113, 80, 457, 697, 993, 873, 1111, 1247, 452, 638, 785, 310, 370, 500, 1194, 118, 116, 250, 429, 529, 903, 842, 247, 300, 62]
Table 1012 Count 23 :	[851, 550, 823, 442, 1249, 227, 1012, 675, 554, 1090, 284, 1117, 87, 48, 81, 630, 665, 294, 455, 635, 214, 874, 663]
Table 1030 Count 1 :	[1030]
Table 1050 Count 51 :	[275, 137, 1092, 407, 1237, 943, 155, 564, 701, 1232, 20, 1234, 1235, 145, 265, 929, 571, 268, 1252, 654, 647, 793, 670, 426, 430, 902, 540, 1142, 543, 658, 422, 1032, 203, 613, 197, 1050, 868, 335, 328, 582, 719, 229, 499, 735, 246, 486, 724, 1079, 604, 966, 483]
Table 1056 Count 4 :	[1000, 1056, 915, 998]
Table 1094 Count 8 :	[800, 530, 76, 1094, 542, 1225, 133, 437]
Table 1099 Count 7 :	[1238, 443, 39, 1233, 1099, 799, 179]
Table 1144 Count 5 :	[702, 2, 1144, 59, 93]
Table 1162 Count 46 :	[204, 1155, 1154, 1157, 1156, 1159, 1158, 1161, 1160, 1163, 1010, 1162, 1165, 1164, 467, 1167, 1166, 1049, 463, 1168, 1169, 1170, 1051, 1171, 1172, 698, 1173, 939, 1174, 1175, 1176, 1177, 573, 1178, 1179, 1180, 639, 330, 1181, 389, 211, 304, 172, 919, 1193, 319]
Table 1186 Count 29 :	[69, 71, 1103, 952, 338, 66, 1093, 831, 890, 348, 1028, 286, 940, 1048, 760, 694, 872, 29, 1186, 35, 922, 1060, 255, 909, 1147, 600, 367, 420, 659]
Table 1187 Count 2 :	[1187, 156]
Table 1189 Count 27 :	[747, 610, 686, 880, 64, 1229, 350, 349, 73, 326, 152, 700, 86, 629, 387, 759, 756, 1191, 1189, 644, 522, 642, 860, 523, 836, 484, 723]
Table 1217 Count 22 :	[956, 713, 476, 751, 1217, 1219, 1068, 142, 888, 976, 281, 917, 912, 762, 911, 592, 392, 83, 1109, 177, 28, 1046]
Table 1250 Count 18 :	[103, 274, 408, 273, 546, 1250, 446, 131, 78, 287, 742, 166, 285, 222, 485, 575, 753, 758]
There are 51 occupied tables
